Datetime,Stage,Discharge,SiteID,VarFrom,VarTo
2025-08-21 00:00:00,11.26,150,606218,10.30,103
2025-08-21 01:00:00,11.254,150,606218,10.30,103
2025-08-21 02:00:00,11.25,150,606218,10.30,103
2025-08-21 03:00:00,11.246,150,606218,10.30,103
2025-08-21 04:00:00,11.243,150,606218,10.30,103
2025-08-21 05:00:00,11.241,150,606218,10.30,103
2025-08-21 06:00:00,11.239,150,606218,10.30,103
2025-08-21 07:00:00,11.237,150,606218,10.30,103
2025-08-21 08:00:00,11.236,150,606218,10.30,103
2025-08-21 09:00:00,11.235,150,606218,10.30,103
2025-08-21 10:00:00,11.234,150,606218,10.30,103
2025-08-21 11:00:00,11.235,150,606218,10.30,103
2025-08-21 12:00:00,11.236,150,606218,10.30,103
2025-08-21 13:00:00,11.236,150,606218,10.30,103
2025-08-21 14:00:00,11.236,150,606218,10.30,103
2025-08-21 15:00:00,11.234,150,606218,10.30,103
2025-08-21 16:00:00,11.233,150,606218,10.30,103
2025-08-21 17:00:00,11.23,150,606218,10.30,103
2025-08-21 18:00:00,11.228,150,606218,10.30,103
2025-08-21 19:00:00,11.224,150,606218,10.30,103
2025-08-21 20:00:00,11.22,150,606218,10.30,103
2025-08-21 21:00:00,11.217,150,606218,10.30,103
2025-08-21 22:00:00,11.212,150,606218,10.30,103
2025-08-21 23:00:00,11.207,150,606218,10.30,103
2025-08-22 00:00:00,11.203,150,606218,10.30,103
2025-08-22 01:00:00,11.198,150,606218,10.30,103
2025-08-22 02:00:00,11.193,150,606218,10.30,103
2025-08-22 03:00:00,11.188,150,606218,10.30,103
2025-08-22 04:00:00,11.184,150,606218,10.30,103
2025-08-22 05:00:00,11.18,150,606218,10.30,103
2025-08-22 06:00:00,11.177,150,606218,10.30,103
2025-08-22 07:00:00,11.175,150,606218,10.30,103
2025-08-22 08:00:00,11.173,150,606218,10.30,103
2025-08-22 09:00:00,11.172,150,606218,10.30,103
2025-08-22 10:00:00,11.172,150,606218,10.30,103
2025-08-22 11:00:00,11.173,150,606218,10.30,103
2025-08-22 12:00:00,11.173,150,606218,10.30,103
2025-08-22 13:00:00,11.174,150,606218,10.30,103
2025-08-22 14:00:00,11.175,150,606218,10.30,103
2025-08-22 15:00:00,11.177,150,606218,10.30,103
2025-08-22 16:00:00,11.178,150,606218,10.30,103
2025-08-22 17:00:00,11.178,150,606218,10.30,103
2025-08-22 18:00:00,11.179,150,606218,10.30,103
2025-08-22 19:00:00,11.179,150,606218,10.30,103
2025-08-22 20:00:00,11.18,150,606218,10.30,103
2025-08-22 21:00:00,11.18,150,606218,10.30,103
2025-08-22 22:00:00,11.18,150,606218,10.30,103
2025-08-22 23:00:00,11.18,150,606218,10.30,103
2025-08-23 00:00:00,11.179,150,606218,10.30,103
2025-08-23 01:00:00,11.177,150,606218,10.30,103
2025-08-23 02:00:00,11.175,150,606218,10.30,103
2025-08-23 03:00:00,11.173,150,606218,10.30,103
2025-08-23 04:00:00,11.17,150,606218,10.30,103
2025-08-23 05:00:00,11.168,150,606218,10.30,103
2025-08-23 06:00:00,11.165,150,606218,10.30,103
2025-08-23 07:00:00,11.162,150,606218,10.30,103
2025-08-23 08:00:00,11.16,150,606218,10.30,103
2025-08-23 09:00:00,11.157,150,606218,10.30,103
2025-08-23 10:00:00,11.154,150,606218,10.30,103
2025-08-23 11:00:00,11.152,150,606218,10.30,103
2025-08-23 12:00:00,11.149,150,606218,10.30,103
2025-08-23 13:00:00,11.146,150,606218,10.30,103
2025-08-23 14:00:00,11.143,150,606218,10.30,103
2025-08-23 15:00:00,11.14,150,606218,10.30,103
2025-08-23 16:00:00,11.137,150,606218,10.30,103
2025-08-23 17:00:00,11.134,150,606218,10.30,103
2025-08-23 18:00:00,11.13,150,606218,10.30,103
2025-08-23 19:00:00,11.125,150,606218,10.30,103
2025-08-23 20:00:00,11.121,150,606218,10.30,103
2025-08-23 21:00:00,11.116,150,606218,10.30,103
2025-08-23 22:00:00,11.112,150,606218,10.30,103
2025-08-23 23:00:00,11.107,150,606218,10.30,103
2025-08-24 00:00:00,11.102,150,606218,10.30,103
2025-08-24 01:00:00,11.098,150,606218,10.30,103
2025-08-24 02:00:00,11.093,150,606218,10.30,103
2025-08-24 03:00:00,11.088,150,606218,10.30,103
2025-08-24 04:00:00,11.083,150,606218,10.30,103
2025-08-24 05:00:00,11.078,150,606218,10.30,103
2025-08-24 06:00:00,11.074,150,606218,10.30,103
2025-08-24 07:00:00,11.069,150,606218,10.30,103
2025-08-24 08:00:00,11.065,150,606218,10.30,103
2025-08-24 09:00:00,11.061,150,606218,10.30,103
2025-08-24 10:00:00,11.058,150,606218,10.30,103
2025-08-24 11:00:00,11.057,150,606218,10.30,103
2025-08-24 12:00:00,11.054,150,606218,10.30,103
2025-08-24 13:00:00,11.053,150,606218,10.30,103
2025-08-24 14:00:00,11.052,150,606218,10.30,103
2025-08-24 15:00:00,11.052,150,606218,10.30,103
2025-08-24 16:00:00,11.054,150,606218,10.30,103
2025-08-24 17:00:00,11.058,150,606218,10.30,103
2025-08-24 18:00:00,11.063,150,606218,10.30,103
2025-08-24 19:00:00,11.072,150,606218,10.30,103
2025-08-24 20:00:00,11.081,150,606218,10.30,103
2025-08-24 21:00:00,11.093,150,606218,10.30,103
2025-08-24 22:00:00,11.11,150,606218,10.30,103
2025-08-24 23:00:00,11.129,150,606218,10.30,103
2025-08-25 00:00:00,11.152,150,606218,10.30,103
2025-08-25 01:00:00,11.173,150,606218,10.30,103
2025-08-25 02:00:00,11.194,150,606218,10.30,103
2025-08-25 03:00:00,11.213,150,606218,10.30,103
2025-08-25 04:00:00,11.232,150,606218,10.30,103
2025-08-25 05:00:00,11.249,150,606218,10.30,103
2025-08-25 06:00:00,11.267,150,606218,10.30,103
2025-08-25 07:00:00,11.285,150,606218,10.30,103
2025-08-25 08:00:00,11.302,150,606218,10.30,103
2025-08-25 09:00:00,11.32,150,606218,10.30,103
2025-08-25 10:00:00,11.336,150,606218,10.30,103
2025-08-25 11:00:00,11.353,150,606218,10.30,103
2025-08-25 12:00:00,11.369,150,606218,10.30,103
2025-08-25 13:00:00,11.383,150,606218,10.30,103
2025-08-25 14:00:00,11.395,150,606218,10.30,103
2025-08-25 15:00:00,11.407,150,606218,10.30,103
2025-08-25 16:00:00,11.418,150,606218,10.30,103
2025-08-25 17:00:00,11.429,150,606218,10.30,103
2025-08-25 18:00:00,11.437,150,606218,10.30,103
2025-08-25 19:00:00,11.445,150,606218,10.30,103
2025-08-25 20:00:00,11.453,150,606218,10.30,103
2025-08-25 21:00:00,11.458,150,606218,10.30,103
2025-08-25 22:00:00,11.464,150,606218,10.30,103
2025-08-25 23:00:00,11.469,150,606218,10.30,103
2025-08-26 00:00:00,11.471,150,606218,10.30,103
2025-08-26 01:00:00,11.472,150,606218,10.30,103
2025-08-26 02:00:00,11.473,150,606218,10.30,103
2025-08-26 03:00:00,11.472,150,606218,10.30,103
2025-08-26 04:00:00,11.471,150,606218,10.30,103
2025-08-26 05:00:00,11.471,150,606218,10.30,103
2025-08-26 06:00:00,11.473,150,606218,10.30,103
2025-08-26 07:00:00,11.475,150,606218,10.30,103
2025-08-26 08:00:00,11.477,150,606218,10.30,103
2025-08-26 09:00:00,11.479,150,606218,10.30,103
2025-08-26 10:00:00,11.482,150,606218,10.30,103
2025-08-26 11:00:00,11.485,150,606218,10.30,103
2025-08-26 12:00:00,11.487,150,606218,10.30,103
2025-08-26 13:00:00,11.491,150,606218,10.30,103
2025-08-26 14:00:00,11.495,150,606218,10.30,103
2025-08-26 15:00:00,11.501,150,606218,10.30,103
2025-08-26 16:00:00,11.506,150,606218,10.30,103
2025-08-26 17:00:00,11.512,150,606218,10.30,103
2025-08-26 18:00:00,11.518,150,606218,10.30,103
2025-08-26 19:00:00,11.525,150,606218,10.30,103
2025-08-26 20:00:00,11.532,150,606218,10.30,103
2025-08-26 21:00:00,11.542,150,606218,10.30,103
2025-08-26 22:00:00,11.548,150,606218,10.30,103
2025-08-26 23:00:00,11.554,150,606218,10.30,103
2025-08-27 00:00:00,11.56,150,606218,10.30,103
2025-08-27 01:00:00,11.564,150,606218,10.30,103
2025-08-27 02:00:00,11.569,150,606218,10.30,103
2025-08-27 03:00:00,11.573,150,606218,10.30,103
2025-08-27 04:00:00,11.576,150,606218,10.30,103
2025-08-27 05:00:00,11.576,150,606218,10.30,103
2025-08-27 06:00:00,0.0,255,606218,10.30,103
2025-08-27 07:00:00,0.0,255,606218,10.30,103
2025-08-27 08:00:00,0.0,255,606218,10.30,103
2025-08-27 09:00:00,0.0,255,606218,10.30,103
2025-08-27 10:00:00,0.0,255,606218,10.30,103
2025-08-27 11:00:00,0.0,255,606218,10.30,103
2025-08-27 12:00:00,0.0,255,606218,10.30,103
2025-08-27 13:00:00,0.0,255,606218,10.30,103
2025-08-27 14:00:00,0.0,255,606218,10.30,103
2025-08-27 15:00:00,0.0,255,606218,10.30,103
2025-08-27 16:00:00,0.0,255,606218,10.30,103
